date,open,high,low,close,volume
2021-01-01,55.5452,56.1006,54.9897,55.5452,1050000
2021-01-04,55.8239,56.4191,55.2657,55.8605,1060000
2021-01-05,56.0749,56.7057,55.5141,56.1443,1070000
2021-01-06,56.2932,56.9519,55.7302,56.3881,1080000
2021-01-07,56.4749,57.1507,55.9101,56.5849,1090000
2021-01-08,56.6167,57.2969,56.0505,56.7296,1100000
2021-01-11,56.7161,57.3876,56.1489,56.8194,1110000
2021-01-12,56.7712,57.4219,56.2035,56.8534,1120000
2021-01-13,56.781,57.4013,56.2132,56.833,1130000
2021-01-14,56.7459,57.3295,56.1784,56.7619,1140000
2021-01-15,56.6672,57.2339,56.0792,56.6456,1150000
2021-01-18,56.5483,57.1138,55.9268,56.4917,1160000
2021-01-19,56.3942,56.9582,55.7459,56.309,1170000
2021-01-20,56.2118,56.7739,55.5465,56.1076,1180000
2021-01-21,56.01,56.5701,55.3393,55.8983,1190000
2021-01-22,55.7991,56.357,55.1353,55.6922,1200000
2021-01-25,55.5908,56.1467,54.9455,55.5005,1210000
2021-01-26,55.3974,55.9514,54.7801,55.3334,1220000
2021-01-27,55.2313,55.7836,54.6485,55.2005,1230000
2021-01-28,55.1043,55.6609,54.5532,55.1098,1240000
2021-01-29,55.0265,55.6184,54.4763,55.0678,1250000
2021-02-01,55.0065,55.6296,54.4564,55.0788,1260000
2021-02-02,55.0497,55.6968,54.4992,55.1454,1270000
2021-02-03,55.1589,55.8202,54.6073,55.2675,1280000
2021-02-04,55.3335,55.9976,54.7801,55.4432,1290000
2021-02-05,55.5693,56.2248,55.0136,55.6681,1300000
2021-02-08,55.8593,56.4956,55.3007,55.9362,1310000
2021-02-09,56.1932,56.802,55.6313,56.2396,1320000
2021-02-10,56.5585,57.1345,55.9929,56.5688,1330000
2021-02-11,56.9409,57.5104,56.3445,56.9137,1340000
2021-02-12,57.3255,57.8987,56.6905,57.2632,1350000
2021-02-15,57.697,58.274,57.0301,57.6062,1360000
2021-02-16,58.0414,58.6218,57.3524,57.9318,1370000
2021-02-17,58.3462,58.9297,57.6475,58.2298,1380000
2021-02-18,58.6015,59.1875,57.9062,58.4911,1390000
2021-02-19,58.8001,59.3881,58.1211,58.7082,1400000
2021-02-22,58.9383,59.5277,58.2863,58.8751,1410000
2021-02-23,59.0152,59.6054,58.3981,58.988,1420000
2021-02-24,59.0333,59.6356,58.4429,59.0451,1430000
2021-02-25,58.9974,59.6375,58.4074,59.047,1440000
2021-02-26,58.9146,59.5864,58.3254,58.9964,1450000
2021-03-01,58.7932,59.4871,58.2052,58.8982,1460000
2021-03-02,58.6425,59.3465,58.056,58.7589,1470000
2021-03-03,58.472,59.1728,57.8873,58.587,1480000
2021-03-04,58.2913,58.976,57.7083,58.392,1490000
2021-03-05,58.109,58.7665,57.5279,58.1847,1500000
2021-03-08,57.9335,58.5557,57.3542,57.9759,1510000
2021-03-09,57.7722,58.3547,57.1944,57.7769,1520000
2021-03-10,57.6315,58.2079,57.0224,57.5984,1530000
2021-03-11,57.5174,58.0926,56.8757,57.4502,1540000
2021-03-12,57.4349,58.0093,56.7676,57.341,1550000
2021-03-15,57.3882,57.9621,56.7053,57.2781,1560000
2021-03-16,57.3811,57.9549,56.694,57.2667,1570000
2021-03-17,57.4161,57.9903,56.7369,57.31,1580000
2021-03-18,57.4954,58.0703,56.8351,57.4092,1590000
2021-03-19,57.6198,58.196,56.9873,57.5629,1600000
2021-03-22,57.7891,58.3669,57.1904,57.768,1610000
2021-03-23,58.0017,58.5993,57.4217,58.0191,1620000
2021-03-24,58.2546,58.8919,57.672,58.3088,1630000
2021-03-25,58.543,59.2148,57.9575,58.6285,1640000
2021-03-26,58.8605,59.5578,58.2719,58.9682,1650000
2021-03-29,59.1989,59.9102,58.6069,59.3171,1660000
2021-03-30,59.5484,60.2608,58.9529,59.6641,1670000
2021-03-31,59.8978,60.5982,59.2989,59.9982,1680000
2021-04-01,60.2352,60.912,59.6328,60.3089,1690000
2021-04-02,60.5479,61.1924,59.9424,60.5865,1700000
2021-04-05,60.8239,61.4321,60.2146,60.8228,1710000
2021-04-06,61.0521,61.6626,60.4011,61.0112,1720000
2021-04-07,61.2233,61.8356,60.5354,61.1469,1730000
2021-04-08,61.3309,61.9442,60.615,61.2272,1740000
2021-04-09,61.3712,61.9849,60.6394,61.2519,1750000
2021-04-12,61.3445,61.9579,60.6105,61.2227,1760000
2021-04-13,61.2543,61.8668,60.5321,61.1436,1770000
2021-04-14,61.1079,61.719,60.4102,61.0204,1780000
2021-04-15,60.9157,61.5248,60.2523,60.861,1790000
2021-04-16,60.6904,61.2973,60.0676,60.6744,1800000
2021-04-19,60.4468,61.0756,59.8423,60.4709,1810000
2021-04-20,60.2,60.8639,59.598,60.2613,1820000
2021-04-21,59.9653,60.6575,59.3657,60.0569,1830000
2021-04-22,59.757,60.4673,59.1594,59.8686,1840000
2021-04-23,59.5873,60.3037,58.9914,59.7067,1850000
2021-04-26,59.4663,60.1761,58.8717,59.5803,1860000
2021-04-27,59.4012,60.0924,58.8072,59.4974,1870000
2021-04-28,59.3961,60.0587,58.8022,59.464,1880000
2021-04-29,59.4521,60.0792,58.8576,59.4843,1890000
2021-04-30,59.5673,60.163,58.9647,59.5603,1900000
2021-05-03,59.7373,60.3346,59.0947,59.6916,1910000
2021-05-04,59.9554,60.5549,59.2772,59.8759,1920000
2021-05-05,60.2134,60.8156,59.5075,60.1086,1930000
2021-05-06,60.5021,61.1071,59.7794,60.3832,1940000
2021-05-07,60.8115,61.4197,60.0847,60.6916,1950000
2021-05-10,61.132,61.7433,60.414,61.0242,1960000
2021-05-11,61.4542,62.0688,60.7569,61.3707,1970000
2021-05-12,61.7697,62.3874,61.1026,61.7198,1980000
2021-05-13,62.0709,62.6916,61.44,62.0606,1990000
2021-05-14,62.3513,63.0061,61.7278,62.3823,2000000
2021-05-17,62.6056,63.3015,61.9796,62.6747,2010000
2021-05-18,62.8292,63.5584,62.2009,62.9291,2020000
2021-05-19,63.0183,63.7695,62.3881,63.1381,2030000
2021-05-20,63.1696,63.9291,62.5379,63.2961,2040000
2021-05-21,63.2805,64.0337,62.6476,63.3997,2050000
2021-05-24,63.3488,64.0819,62.7153,63.4475,2060000
2021-05-25,63.3732,64.0747,62.7395,63.4403,2070000
2021-05-26,63.3531,64.0151,62.7196,63.3813,2080000
2021-05-27,63.2894,63.9223,62.6429,63.2756,2090000
2021-05-28,63.1843,63.8161,62.4989,63.1302,2100000
2021-05-31,63.0419,63.6723,62.3242,62.9538,2110000
2021-06-01,62.8684,63.497,62.1284,62.756,2120000
2021-06-02,62.6717,63.2984,61.9221,62.5476,2130000
2021-06-03,62.4618,63.0864,61.7163,62.3397,2140000
2021-06-04,62.2501,62.8726,61.522,62.1434,2150000
2021-06-07,62.0491,62.6696,61.3496,61.9693,2160000
2021-06-08,61.8713,62.49,61.2088,61.8271,2170000
2021-06-09,61.7293,62.3466,61.108,61.7253,2180000
2021-06-10,61.6342,62.2874,61.0178,61.6707,2190000
2021-06-11,61.5952,62.285,60.9793,61.6683,2200000
2021-06-14,61.6194,62.3382,61.0032,61.721,2210000
2021-06-15,61.7103,62.4478,61.0932,61.8295,2220000
2021-06-16,61.8685,62.6121,61.2498,61.9922,2230000
2021-06-17,62.0907,62.8275,61.4698,62.2054,2240000
2021-06-18,62.3704,63.0882,61.7467,62.4635,2250000
2021-06-21,62.698,63.3865,62.071,62.7589,2260000
2021-06-22,63.0609,63.7135,62.4303,63.0827,2270000
2021-06-23,63.4448,64.0793,62.7905,63.4247,2280000
2021-06-24,63.8344,64.4728,63.1364,63.7741,2290000
2021-06-25,64.214,64.8561,63.4785,64.1197,2300000
2021-06-28,64.5688,65.2144,63.8061,64.4506,2310000
2021-06-29,64.8855,65.5343,64.1088,64.7564,2320000
2021-06-30,65.1534,65.805,64.3773,65.0276,2330000
2021-07-01,65.3648,66.0184,64.6037,65.2562,2340000
2021-07-02,65.5151,66.1702,64.7816,65.436,2350000
2021-07-05,65.6032,66.2592,64.9069,65.5625,2360000
2021-07-06,65.6312,66.2898,64.9749,65.6335,2370000
2021-07-07,65.6038,66.3054,64.9477,65.6489,2380000
2021-07-08,65.528,66.2671,64.8727,65.611,2390000
2021-07-09,65.4125,66.1792,64.7583,65.524,2400000
2021-07-12,65.2665,66.0481,64.6138,65.3941,2410000
