date,open,high,low,close,volume
2021-01-01,40.0,40.4,39.6,40.0,1000000
2021-01-04,40.3217,40.7516,39.9185,40.3481,1010000
2021-01-05,40.6349,41.092,40.2285,40.6852,1020000
2021-01-06,40.9315,41.4105,40.5222,41.0005,1030000
2021-01-07,41.204,41.6971,40.792,41.2843,1040000
2021-01-08,41.4454,41.9433,41.0309,41.5281,1050000
2021-01-11,41.649,42.1421,41.2325,41.7249,1060000
2021-01-12,41.8091,42.2883,41.391,41.8696,1070000
2021-01-13,41.921,42.379,41.5018,41.9594,1080000
2021-01-14,41.9815,42.4133,41.5617,41.9934,1090000
2021-01-15,41.989,42.4089,41.5533,41.973,1100000
2021-01-18,41.9439,42.3633,41.4829,41.9019,1110000
2021-01-19,41.8489,42.2674,41.3678,41.7856,1120000
2021-01-20,41.7091,42.1261,41.2154,41.6317,1130000
2021-01-21,41.5318,41.9471,41.0345,41.449,1140000
2021-01-22,41.3267,41.7399,40.8351,41.2476,1150000
2021-01-25,41.105,41.5161,40.6279,41.0383,1160000
2021-01-26,40.8795,41.2883,40.4239,40.8322,1170000
2021-01-27,40.6632,41.0698,40.2341,40.6405,1180000
2021-01-28,40.4693,40.8781,40.0646,40.4734,1190000
2021-01-29,40.3103,40.7439,39.9072,40.3405,1200000
2021-02-01,40.1969,40.6523,39.7949,40.2498,1210000
2021-02-02,40.138,40.6098,39.7366,40.2078,1220000
2021-02-03,40.1398,40.621,39.7384,40.2188,1230000
2021-02-04,40.2057,40.6882,39.8036,40.2854,1240000
2021-02-05,40.3358,40.8116,39.9324,40.4075,1250000
2021-02-08,40.5274,40.989,40.1221,40.5832,1260000
2021-02-09,40.7745,41.2162,40.3667,40.8081,1270000
2021-02-10,41.0687,41.487,40.658,41.0762,1280000
2021-02-11,41.3994,41.8134,40.9658,41.3796,1290000
2021-02-12,41.7542,42.1717,41.2917,41.7088,1300000
2021-02-15,42.12,42.5412,41.6331,42.0537,1310000
2021-02-16,42.4834,42.9083,41.9791,42.4032,1320000
2021-02-17,42.8316,43.26,42.3187,42.7462,1330000
2021-02-18,43.153,43.5846,42.641,43.0718,1340000
2021-02-19,43.4377,43.8721,42.9361,43.3698,1350000
2021-02-22,43.678,44.1147,43.1948,43.6311,1360000
2021-02-23,43.8684,44.3071,43.4097,43.8482,1370000
2021-02-24,44.0063,44.4552,43.5662,44.0151,1380000
2021-02-25,44.0909,44.5692,43.65,44.128,1390000
2021-02-26,44.1238,44.627,43.6825,44.1851,1400000
2021-03-01,44.1083,44.6289,43.6672,44.187,1410000
2021-03-02,44.049,44.5778,43.6085,44.1364,1420000
2021-03-03,43.9518,44.4785,43.5123,44.0382,1430000
2021-03-04,43.8231,44.3379,43.3849,43.8989,1440000
2021-03-05,43.6701,44.1642,43.2334,43.727,1450000
2021-03-08,43.5002,43.9674,43.0652,43.532,1460000
2021-03-09,43.3211,43.7579,42.8879,43.3247,1470000
2021-03-10,43.1408,43.5722,42.6848,43.1159,1480000
2021-03-11,42.9672,43.3968,42.4878,42.9169,1490000
2021-03-12,42.8083,43.2364,42.311,42.7384,1500000
2021-03-15,42.6721,43.0988,42.1643,42.5902,1510000
2021-03-16,42.5659,42.9915,42.0562,42.481,1520000
2021-03-17,42.4966,42.9216,41.9939,42.4181,1530000
2021-03-18,42.4704,42.8951,41.9826,42.4067,1540000
2021-03-19,42.4919,42.9168,42.0255,42.45,1550000
2021-03-22,42.5646,42.9903,42.1237,42.5492,1560000
2021-03-23,42.6901,43.13,42.2632,42.7029,1570000
2021-03-24,42.8681,43.3371,42.4394,42.908,1580000
2021-03-25,43.0961,43.5907,42.6652,43.1591,1590000
2021-03-26,43.3695,43.8833,42.9358,43.4488,1600000
2021-03-29,43.6813,44.2062,43.2445,43.7685,1610000
2021-03-30,44.0226,44.5492,43.5824,44.1082,1620000
2021-03-31,44.3827,44.9016,43.9389,44.4571,1630000
2021-04-01,44.7493,45.2522,44.3018,44.8041,1640000
2021-04-02,45.1095,45.5896,44.6584,45.1382,1650000
2021-04-05,45.4497,45.9042,44.9944,45.4489,1660000
2021-04-06,45.7572,46.2148,45.2693,45.7265,1670000
2021-04-07,46.0203,46.4805,45.5032,45.9628,1680000
2021-04-08,46.2293,46.6916,45.6897,46.1512,1690000
2021-04-09,46.377,46.8408,45.824,46.2869,1700000
2021-04-12,46.4595,46.9241,45.9036,46.3672,1710000
2021-04-13,46.4759,46.9407,45.928,46.3919,1720000
2021-04-14,46.4292,46.8935,45.8991,46.3627,1730000
2021-04-15,46.3252,46.7884,45.8207,46.2836,1740000
2021-04-16,46.1726,46.6343,45.6988,46.1604,1750000
2021-04-19,45.9826,46.461,45.5228,46.001,1760000
2021-04-20,45.7677,46.2725,45.3101,45.8144,1770000
2021-04-21,45.5413,46.067,45.0859,45.6109,1780000
2021-04-22,45.3167,45.8553,44.8635,45.4013,1790000
2021-04-23,45.1066,45.6489,44.6555,45.1969,1800000
2021-04-26,44.9225,45.4587,44.4733,45.0086,1810000
2021-04-27,44.7742,45.2951,44.3264,44.8467,1820000
2021-04-28,44.6692,45.1675,44.2225,44.7203,1830000
2021-04-29,44.6132,45.0838,44.1671,44.6374,1840000
2021-04-30,44.6093,45.0554,44.158,44.604,1850000
2021-05-03,44.6585,45.105,44.1781,44.6243,1860000
2021-05-04,44.7596,45.2072,44.2533,44.7003,1870000
2021-05-05,44.9098,45.3589,44.3833,44.8316,1880000
2021-05-06,45.1045,45.5556,44.5658,45.0159,1890000
2021-05-07,45.338,45.7914,44.7961,45.2486,1900000
2021-05-10,45.6036,46.0597,45.068,45.5232,1910000
2021-05-11,45.894,46.353,45.3733,45.8316,1920000
2021-05-12,46.2015,46.6636,45.7026,46.1642,1930000
2021-05-13,46.5183,46.9835,46.0455,46.5107,1940000
2021-05-14,46.8366,47.3284,46.3682,46.8598,1950000
2021-05-17,47.1486,47.6726,46.6771,47.2006,1960000
2021-05-18,47.4468,47.9975,46.9724,47.5223,1970000
2021-05-19,47.724,48.2929,47.2467,47.8147,1980000
2021-05-20,47.973,48.5498,47.4933,48.0691,1990000
2021-05-21,48.1873,48.7609,47.7054,48.2781,2000000
2021-05-24,48.3608,48.9205,47.8772,48.4361,2010000
2021-05-25,48.4883,49.0251,48.0035,48.5397,2020000
2021-05-26,48.5659,49.0733,48.0802,48.5875,2030000
2021-05-27,48.5909,49.0768,48.0945,48.5803,2040000
2021-05-28,48.5629,49.0485,48.0361,48.5213,2050000
2021-05-31,48.4834,48.9683,47.9315,48.4156,2060000
2021-06-01,48.3567,48.8402,47.7875,48.2702,2070000
2021-06-02,48.1891,48.671,47.6128,48.0938,2080000
2021-06-03,47.9898,48.4697,47.417,47.896,2090000
2021-06-04,47.7695,48.2472,47.2107,47.6876,2100000
2021-06-07,47.5408,48.0162,47.0049,47.4797,2110000
2021-06-08,47.3172,47.7904,46.8106,47.2834,2120000
2021-06-09,47.1124,47.5835,46.6382,47.1093,2130000
2021-06-10,46.9393,47.4368,46.4699,46.9671,2140000
2021-06-11,46.8098,47.3339,46.3417,46.8653,2150000
2021-06-14,46.7336,47.2788,46.2663,46.8107,2160000
2021-06-15,46.7181,47.2764,46.2509,46.8083,2170000
2021-06-16,46.7675,47.3296,46.2998,46.861,2180000
2021-06-17,46.8828,47.4392,46.414,46.9695,2190000
2021-06-18,47.062,47.6035,46.5913,47.1322,2200000
2021-06-21,47.2994,47.8189,46.8264,47.3454,2210000
2021-06-22,47.587,48.0796,47.1112,47.6035,2220000
2021-06-23,47.9141,48.3933,47.42,47.8989,2230000
2021-06-24,48.2683,48.751,47.7405,48.2227,2240000
2021-06-25,48.6361,49.1225,48.0791,48.5647,2250000
2021-06-28,49.0038,49.4938,48.425,48.9141,2260000
2021-06-29,49.3579,49.8515,48.7671,49.2597,2270000
2021-06-30,49.6866,50.1835,49.0947,49.5906,2280000
2021-07-01,49.9794,50.4792,49.3974,49.8964,2290000
2021-07-02,50.2282,50.7305,49.6659,50.1676,2300000
2021-07-05,50.4275,50.9318,49.8923,50.3962,2310000
2021-07-06,50.5742,51.0818,50.0685,50.576,2320000
2021-07-07,50.6676,51.2095,50.161,50.7025,2330000
2021-07-08,50.7093,51.2812,50.2022,50.7735,2340000
2021-07-09,50.7025,51.2968,50.1955,50.7889,2350000
2021-07-12,50.6519,51.2585,50.1454,50.751,2360000
2021-07-13,50.5633,51.1706,50.0577,50.664,2370000
2021-07-14,50.443,51.0395,49.9386,50.5341,2380000
2021-07-15,50.2978,50.8731,49.7949,50.3694,2390000
